distributor_id,distributor_name,tel_number
1,Martin-White,(764)476-4142x58578
2,Greene-Donaldson,536.490.7472
3,Nielsen Ltd,7857639090
4,"Owens, Curtis and Moore",+1-491-872-3802
5,"Drake, Miller and Parsons",787-232-9636x233
6,Collins and Sons,814.992.1249
7,"Wood, Farley and White",660-623-7031
8,Tucker-Rocha,(941)290-5879
9,Warren Group,(748)828-4622
10,Daniels-Moore,580.322.6401
11,Jones and Sons,(522)245-1288x6837
12,"Ali, Nixon and Skinner",201.645.8446x61866
13,"Howard, Davila and White",767-647-1140
14,"Patel, Harper and Meyers",302.691.5757x8479
15,Hall and Sons,+1-283-225-4891
16,Raymond Group,2096077125
17,Baker-Ward,476-920-3816x812
18,Kennedy PLC,2574383556
19,French-Kelley,240-553-4083x304
20,Scott and Sons,(821)401-8290
21,Carr-Miller,(233)710-2390
22,"Smith, King and Dudley",+1-798-480-5696x64862
23,Lucero-Riggs,+1-814-683-9265
24,Sparks-Cameron,(647)637-0634x67092
25,Collins-Carter,+1-951-868-7117x077
26,Mccoy-Aguilar,+1-271-717-5282x328
27,"Martin, Cantrell and Jones",001-921-883-3888x476
28,"Lowe, Perez and Maldonado",286.561.2395
29,Castro LLC,+1-653-620-7230x07686
30,Floyd-Mercado,845.957.7512x62090
