date,client_id,itme_id,count,price_per_item,total_cost
2023-07-02,78,1,150.5,446.14,26030.39
2023-02-23,88,23,12.27,23.49,7547.43
2023-10-04,99,3,288.73,244.61,1569.19
2023-09-29,35,61,181.27,331.87,13448.5
2023-03-04,5,26,435.75,456.4,23516.39
2023-03-09,97,82,436.76,312.72,28290.76
2023-10-16,68,41,176.65,345.39,6505.8
2023-06-14,93,86,315.65,183.47,2422.45
2023-11-20,59,69,386.26,61.02,2326.52
2023-07-17,80,53,54.81,191.85,17323.98
2023-06-30,24,85,244.6,362.02,29739.02
2023-02-14,18,74,370.47,328.78,19510.0
2023-08-20,97,47,194.34,272.63,8586.49
2023-11-28,24,35,310.94,48.84,17826.13
2023-05-30,3,70,160.73,391.36,27614.82
2023-10-25,37,76,83.92,29.49,2166.28
2023-09-09,66,64,360.09,222.91,7929.15
2023-01-25,70,72,424.74,254.66,6977.14
2023-09-15,2,12,389.75,285.58,985.17
2023-09-10,78,63,244.84,365.12,20856.02
2023-08-19,86,26,242.46,365.01,1591.08
2023-12-29,5,81,342.92,133.53,45398.58
2023-08-08,14,46,97.42,135.34,10005.4
2023-02-04,68,36,234.38,265.82,14105.59
2023-05-16,82,82,337.93,200.64,8199.87
2023-07-09,48,32,454.65,165.43,8539.3
2023-01-12,75,81,488.53,320.99,5499.98
2023-02-07,37,55,405.65,377.23,7088.43
2023-08-31,66,69,485.9,174.94,2606.67
2023-10-29,86,79,288.3,459.44,12012.37
2023-06-14,57,5,294.36,479.78,2832.13
2023-06-28,84,84,37.73,311.77,14376.8
2023-10-01,17,64,93.01,178.16,23672.19
2023-04-17,92,25,433.58,10.53,11159.86
2023-03-01,41,18,241.96,466.99,909.85
2023-03-22,3,55,424.21,324.51,3004.44
2023-12-12,48,42,92.66,392.19,216.16
2023-03-15,30,17,293.15,176.22,20484.64
2023-08-31,31,96,461.51,146.91,9535.7
2023-02-24,8,76,125.37,430.11,16016.02
2023-07-11,67,4,408.1,308.03,2620.77
2023-06-21,82,78,437.35,250.29,9011.47
2023-09-25,13,93,275.97,157.32,14759.17
2023-01-23,22,13,240.98,239.76,5987.97
2023-05-21,2,88,452.7,399.27,10456.6
2023-05-26,95,46,425.55,286.56,6996.69
2023-03-19,34,46,314.41,432.63,79.72
2023-06-18,66,53,154.57,102.12,3790.22
2023-12-01,69,15,306.02,424.68,2574.21
2023-07-18,11,100,404.04,261.67,865.44
2023-09-25,50,52,485.63,217.35,10932.0
2023-01-10,57,51,374.03,36.63,9153.75
2023-11-09,14,1,222.87,397.37,5523.98
2023-09-20,55,95,111.09,133.18,4133.97
2023-09-01,32,92,424.46,445.51,9251.4
2023-12-14,61,9,172.05,299.86,34237.81
2023-10-15,97,87,153.26,71.34,960.04
2023-03-31,70,28,457.03,260.63,3863.34
2023-05-23,14,98,238.31,380.88,7345.56
2023-12-08,45,18,156.0,165.87,7689.51
2023-08-24,39,2,368.73,161.3,385.81
2023-06-05,37,97,463.98,14.09,16367.13
2023-11-10,7,9,369.19,258.31,678.25
2023-02-06,65,47,321.42,339.12,13338.58
2023-01-23,39,98,90.37,354.51,8751.96
2023-03-25,78,19,199.66,443.25,828.82
2023-03-18,87,19,362.7,239.94,25501.52
2023-07-25,46,25,308.62,488.79,16151.2
2023-12-28,74,31,186.17,188.73,2450.98
2023-05-02,45,52,441.94,15.85,6051.22
2023-12-05,1,71,137.0,85.77,149.65
2023-05-07,4,65,452.28,364.62,2780.42
2023-06-13,90,20,20.85,134.36,22040.57
2023-12-05,13,49,383.18,36.34,4294.32
2023-12-24,87,75,417.77,45.97,5220.91
2023-10-29,13,73,263.35,12.94,35164.16
2023-03-20,39,44,454.13,128.98,4291.39
2023-05-06,8,2,179.7,220.71,1997.05
2023-07-03,34,21,277.49,189.89,11139.11
2023-02-23,56,55,130.03,444.87,8765.7
2023-12-13,40,23,382.97,415.24,1996.25
2023-07-02,40,83,314.39,277.2,8533.5
2023-11-22,8,32,34.37,220.07,12248.21
2023-11-17,82,48,368.59,277.02,5231.66
2023-12-02,51,13,320.69,337.61,15435.53
2023-11-10,65,73,146.23,340.11,14789.61
2023-10-06,17,47,68.37,231.45,18172.21
2023-06-23,96,7,91.3,281.17,6371.88
2023-09-20,68,16,148.68,69.06,11013.36
2023-09-08,61,97,313.95,414.39,22526.35
2023-07-06,59,64,440.44,156.14,26167.7
2023-09-17,45,72,330.1,48.56,12111.89
2023-04-04,26,10,239.61,67.88,25278.65
2023-12-30,12,9,75.26,427.53,31155.38
2023-06-06,56,51,456.29,43.13,22665.58
2023-10-21,63,44,109.06,493.77,29886.82
2023-08-26,49,53,457.09,351.83,2848.81
2023-01-23,9,48,330.21,328.66,10782.97
2023-02-27,57,36,449.03,495.5,3536.0
2023-02-14,38,37,246.25,362.46,8352.75
2023-08-01,89,74,52.11,386.34,27016.93
2023-04-26,38,9,302.16,476.99,13099.32
2023-05-26,21,12,99.97,472.62,29215.32
2023-11-03,3,61,476.64,163.7,26869.38
2023-12-24,69,17,127.69,91.54,20417.46
2023-04-01,86,3,221.8,102.3,46059.06
2023-09-03,79,4,333.43,188.71,20588.77
2023-11-14,47,87,273.22,143.91,24954.18
2023-02-06,73,85,280.34,387.32,27821.07
2023-05-24,38,98,377.3,177.38,25589.95
2023-11-03,62,78,322.62,211.44,4530.91
2023-04-20,56,79,145.05,424.28,16099.62
2023-08-16,26,71,392.13,193.6,15045.33
2023-01-22,89,86,22.23,379.55,7160.54
2023-02-14,85,23,366.89,218.53,4736.13
2023-10-04,82,95,398.25,407.42,10856.09
2023-09-26,99,46,78.82,352.11,31148.3
2023-12-29,42,83,351.34,494.47,29929.61
2023-02-07,40,97,283.63,429.13,291.79
2023-04-24,29,21,470.17,372.09,1668.26
2023-12-30,11,4,163.11,314.52,8134.35
2023-05-15,22,87,238.48,63.31,12894.95
2023-03-22,35,63,486.33,466.11,24580.66
2023-05-20,71,23,141.87,203.79,36421.52
2023-04-20,29,12,445.03,247.69,1547.06
2023-01-28,55,52,13.2,118.09,4521.15
2023-05-16,53,52,287.24,460.14,3634.55
2023-04-09,21,13,21.94,202.13,7114.68
2023-12-25,48,31,301.96,50.05,25405.16
2023-02-07,100,11,489.37,322.41,5185.97
2023-03-29,98,7,74.47,488.85,20306.34
2023-02-23,83,97,468.06,385.97,5027.08
2023-03-13,54,45,45.21,146.99,18332.82
2023-09-30,82,37,345.77,204.4,2615.28
2023-11-22,99,98,117.73,486.58,1582.85
2023-08-19,60,39,407.72,346.68,39159.17
2023-11-13,83,69,38.43,240.04,8046.82
2023-02-24,45,16,433.91,126.4,11024.25
2023-05-22,98,59,265.96,207.43,3155.17
2023-06-03,12,75,397.86,81.03,7701.78
2023-05-20,60,46,444.48,170.8,16892.82
2023-04-17,88,37,473.77,32.33,42390.25
2023-01-19,27,56,414.71,351.62,8664.85
2023-02-02,83,15,426.77,445.59,13613.65
2023-09-10,48,14,484.7,235.76,1158.73
2023-05-10,39,36,161.48,17.72,2242.9
2023-06-04,14,45,398.57,145.94,12070.79
2023-04-10,52,17,188.54,337.63,21020.47
2023-12-04,45,10,142.36,222.23,508.53
2023-04-26,99,18,353.64,82.64,11207.14
2023-11-06,21,23,304.6,113.46,14752.31
2023-05-01,77,76,351.27,333.5,16952.34
2023-06-13,97,73,430.01,239.28,2850.2
2023-05-25,21,25,225.82,460.55,1142.39
2023-01-07,47,74,347.89,35.12,3553.29
2023-01-04,26,28,367.64,457.11,5086.72
2023-06-30,74,62,108.37,240.34,10162.21
2023-02-04,72,98,272.02,13.43,10263.38
2023-05-23,45,79,258.53,268.61,23184.21
2023-01-10,44,73,63.11,53.21,672.64
2023-12-09,75,24,355.82,223.92,8710.75
2023-10-29,10,34,473.88,406.19,6229.39
2023-04-29,95,98,62.55,166.66,6528.68
2023-06-07,42,9,300.67,372.77,16389.14
2023-02-16,81,75,287.53,296.6,21368.67
2023-08-30,9,43,305.37,310.65,10637.04
2023-07-09,83,50,335.35,365.13,3933.78
2023-08-20,90,9,455.54,362.92,17085.53
2023-05-22,89,71,224.2,31.81,41775.39
2023-03-04,28,5,301.57,399.3,2512.47
2023-01-24,10,38,422.76,150.58,376.86
2023-09-01,80,69,115.01,442.49,483.39
2023-10-02,37,91,248.96,272.05,659.16
2023-02-07,55,58,397.45,264.52,39063.46
2023-09-24,15,33,15.36,304.84,3057.41
2023-08-11,98,57,29.6,90.93,6754.3
2023-06-16,69,30,215.08,439.18,3600.51
2023-08-27,55,32,379.06,263.24,18354.72
2023-07-16,45,15,192.92,124.38,23380.87
2023-05-16,65,64,458.36,497.8,1669.57
2023-09-15,50,63,256.2,154.95,1511.89
2023-03-21,33,80,190.57,253.98,19726.35
2023-10-20,20,78,116.74,363.79,12947.48
2023-08-18,8,5,422.19,46.97,1112.6
2023-05-22,57,33,152.61,286.64,1038.49
2023-02-09,88,29,243.11,289.97,32694.0
2023-01-23,64,13,177.47,82.43,9804.21
2023-10-09,43,63,252.61,92.02,16331.04
2023-07-15,40,32,350.43,369.27,27117.3
2023-12-05,85,78,280.01,137.12,16902.64
2023-08-22,26,10,480.88,221.42,1705.13
2023-06-07,97,33,488.75,42.49,2168.54
2023-07-03,19,40,257.82,106.71,6076.47
2023-06-03,97,31,151.27,483.06,4603.5
2023-10-10,86,60,55.64,102.46,30629.31
2023-03-23,26,5,231.01,103.25,25439.23
2023-07-21,66,29,354.44,26.23,3374.01
2023-01-05,76,12,232.97,69.19,18912.02
2023-11-29,22,48,120.19,33.14,11065.85
2023-06-24,15,28,90.53,239.5,13349.64
2023-12-31,34,57,429.52,357.39,4848.08
2023-08-11,24,20,371.5,251.09,21561.54
2023-12-20,44,83,425.34,455.53,26083.39
2023-10-18,74,27,14.86,149.68,8281.65
2023-01-26,77,30,86.37,90.09,32046.57
2023-03-18,16,43,197.92,300.63,8187.97
2023-12-16,4,76,177.82,253.05,31467.08
2023-06-06,89,68,218.89,59.02,20522.62
2023-08-21,7,39,204.15,12.43,18150.92
2023-01-08,77,71,169.81,101.3,38691.7
2023-01-11,72,10,382.46,314.59,10597.47
2023-07-10,72,42,299.94,497.59,13852.15
2023-07-14,8,61,148.62,468.92,8008.21
2023-05-04,48,75,208.22,432.82,10937.42
2023-06-21,99,19,131.28,478.99,35583.46
2023-06-23,80,55,143.07,261.58,3180.63
2023-06-07,33,42,93.52,115.36,18880.5
2023-12-16,54,36,361.54,15.55,24775.93
2023-11-08,16,75,258.97,488.98,35854.86
2023-02-08,33,29,330.94,236.15,25682.62
2023-01-17,52,76,357.04,392.65,547.51
2023-01-01,91,75,317.63,488.09,128.6
2023-02-28,50,6,457.15,132.88,10507.79
2023-08-21,24,10,79.14,431.03,35987.49
2023-09-22,42,24,93.22,188.86,13103.4
2023-06-28,92,6,120.52,266.33,1718.82
2023-08-15,80,46,207.85,405.5,3632.4
2023-05-20,39,34,364.65,175.9,23296.88
2023-08-17,15,84,345.58,45.31,8171.95
2023-10-19,75,51,247.08,410.52,7189.54
2023-09-13,4,3,433.62,346.09,7720.12
2023-01-04,83,19,73.32,256.92,14630.6
2023-09-18,4,65,403.39,101.65,30778.24
2023-04-25,25,71,362.93,195.52,7989.65
2023-04-20,99,45,499.25,425.01,34894.87
2023-11-05,90,10,138.4,75.23,25856.73
2023-01-12,50,20,477.98,353.03,11522.24
2023-09-03,28,82,475.33,264.46,1260.61
2023-09-18,67,19,66.38,305.78,20260.37
2023-01-07,18,33,356.65,149.28,7851.07
2023-03-12,83,9,12.8,58.64,1890.55
2023-09-13,18,22,224.15,187.79,19992.11
2023-07-06,48,53,103.01,281.18,9101.42
2023-05-30,49,50,26.99,32.39,512.84
2023-02-10,88,52,458.4,324.48,4743.22
